City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
406,Virginia Beach,US,77.05,broken clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
409,San Pedro,PH,84.34,broken clouds,14.35,121.0167,Palines Apartment and Guesthouse
416,Kaduqli,SD,70.86,moderate rain,11.0167,29.7167,Nussyba
421,Aguimes,ES,70.43,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
423,Tiarei,PF,84.22,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
425,Prado,BR,70.61,broken clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
428,Sao Jose Da Coroa Grande,BR,74.98,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
429,Broome,US,72.36,overcast clouds,42.2506,-75.833,Chenango Valley State Park
430,Moussoro,TD,78.69,moderate rain,13.6408,16.4901,Hôtel Salama
437,Tabou,CI,75.15,overcast clouds,4.423,-7.3528,hotêl doufoulougou
438,Guerrero Negro,MX,79.03,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
439,Ipixuna,BR,72.77,heavy intensity rain,-1.7625,-48.8043,Chalé do Mato
443,Charters Towers,AU,72.61,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
444,Langsa,ID,77.5,overcast clouds,4.4683,97.9683,OYO 3328 Hotel Mori
447,Waddan,LY,79.38,clear sky,29.1614,16.139,محل الشريف محمد العايب
451,Conway,US,80.44,broken clouds,35.0887,-92.4421,"Country Inn & Suites by Radisson, Conway, AR"
455,Wajir,KE,74.37,overcast clouds,1.7471,40.0573,Mahatallah Hotel
457,Arauca,CO,73.36,light intensity drizzle,7.0847,-70.7591,Hotel Verano Plaza
458,Danville,US,78.35,overcast clouds,36.586,-79.395,"Holiday Inn Express Danville, an IHG Hotel"
461,Male,MV,82.35,overcast clouds,4.1748,73.5089,Hotel Octave Maldives
462,Trincomalee,LK,79.32,overcast clouds,8.5711,81.2335,Welcombe Hotel
465,San Policarpo,PH,84.52,overcast clouds,12.1791,125.5072,Agapita M. Nicart
470,Dibulla,CO,82.04,scattered clouds,11.2725,-73.3091,Hospedaje Dibulla Beach
471,La Solana,ES,78.1,clear sky,38.9442,-3.2381,Apartamento Prado
473,Khandbari,NP,72.95,overcast clouds,27.3747,87.2039,Sainik Hotel And Lodge
475,Lerici,IT,81.36,clear sky,44.0759,9.9112,Doria Park Hotel
477,Ko Samui,TH,82.31,few clouds,9.5357,99.9357,The Passage
479,Sinnamary,GF,78.31,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
484,Lahat,ID,78.57,scattered clouds,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
485,Nautla,MX,81.54,broken clouds,20.2167,-96.7833,Casa Blanca
488,Amahai,ID,80.37,broken clouds,-3.3333,128.9167,HOTEL ISABELA
491,Massaguet,TD,79.23,light rain,12.4755,15.4365,Alwatane
493,Banjar,ID,82.15,clear sky,-8.19,114.9675,The Hamsa Resort
495,Coos Bay,US,70.99,few clouds,43.3665,-124.2179,Best Western Holiday Hotel
499,Burns Lake,CA,80.02,few clouds,54.2331,-125.7533,Burns Lake Bed and Breakfast
509,Paka,MY,75.13,few clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
510,Griffith,US,81.05,clear sky,41.5284,-87.4237,Apartment above Depot Bar
513,The Valley,AI,84.06,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
515,Sorong,ID,81.27,scattered clouds,-0.8833,131.25,Waigo Splash Hotel
516,Coxim,BR,75.15,clear sky,-18.5067,-54.76,Rancho Da Curica
517,Banda Aceh,ID,81.16,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
519,Doaba,PK,74.39,clear sky,33.4244,70.7364,mian hayat khan
521,Nizwa,OM,82.42,broken clouds,22.9333,57.5333,Orient Apartments
522,Korla,CN,78.3,scattered clouds,41.7597,86.1469,Gulisitan Hotel
524,Manggar,ID,83.21,overcast clouds,-2.8833,108.2667,Guest Hotel
526,Mpanda,TZ,70.0,broken clouds,-6.3655,31.0409,CH Hotel - Mpanda
529,Catuday,PH,80.73,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
531,Baghdad,IQ,84.11,clear sky,33.3406,44.4009,Baghdad Hotel
532,Eydhafushi,MV,77.65,light rain,5.1033,73.0708,Soneva Fushi
535,Mandal,IN,76.66,overcast clouds,25.45,74.5667,Surpanch saab ki vatika
537,Tallahassee,US,84.99,few clouds,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
539,Panzhihua,CN,72.19,overcast clouds,26.5851,101.7128,Electric Power Hotel
543,Houma,US,84.0,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
545,Staronizhestebliyevskaya,RU,73.49,clear sky,45.3767,38.4517,Magnat
550,Kampot,KH,77.05,overcast clouds,10.6167,104.1833,Two Moons Hotel
551,Naze,JP,81.52,overcast clouds,28.3667,129.4833,Shishime Hotel
554,Samarai,PG,81.0,broken clouds,-10.6167,150.6667,Nuli Sapi
558,Luocheng,CN,75.18,overcast clouds,29.3848,104.0286,Luocheng Hotel
559,Kupang,ID,82.04,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
572,Matara,LK,76.77,light rain,5.9485,80.5353,Amaloh Boutique Resort
573,Wanlaweyn,SO,73.24,light rain,2.6185,44.8938,GAASHAAN HOME
574,Hamilton,US,75.31,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
575,Shelburne,CA,75.99,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
576,Tual,ID,79.32,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
