City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Descrition
172,Faanui,PF,-16.4833,-151.75,78.64,71,15,24.58,light rain
173,Alto Araguaia,BR,-17.3147,-53.2153,68.5,33,0,2.3,clear sky
174,Quatre Cocos,MU,-20.2078,57.7625,68.11,68,39,11.95,scattered clouds
175,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,85,9,4.65,clear sky
176,Kanigiri,IN,15.4,79.5167,84.0,72,100,4.09,overcast clouds
177,Orje,NO,59.4802,11.6602,59.36,99,100,3.27,moderate rain
178,Iisalmi,FI,63.5592,27.1907,50.27,97,11,1.28,few clouds
179,Saint-Joseph,RE,-21.3667,55.6167,66.58,79,26,9.46,scattered clouds
180,Vanimo,PG,-2.6741,141.3028,85.14,67,100,6.6,overcast clouds
181,Bitung,ID,1.4451,125.1824,86.85,71,100,4.47,overcast clouds
182,Mackay,AU,-21.15,149.2,74.68,73,0,7.96,clear sky
183,Saint-Pierre,RE,-21.3393,55.4781,67.68,63,0,8.05,clear sky
184,Kimbe,PG,-5.5502,150.1429,90.46,52,78,4.21,broken clouds
185,Calabozo,VE,8.9242,-67.4293,75.18,88,100,3.85,overcast clouds
186,Dharchula,IN,29.85,80.5333,72.54,92,95,0.09,overcast clouds
187,Saint-Georges,GD,12.0564,-61.7485,80.28,89,20,23.02,few clouds
188,Isangel,VU,-19.55,169.2667,80.71,69,40,8.05,scattered clouds
189,Butaritari,KI,3.0707,172.7902,81.48,78,73,13.11,broken clouds
190,Am Timan,TD,11.0297,20.2827,71.2,95,100,4.56,overcast clouds
191,Beaufort,MY,5.3473,115.7455,75.83,94,100,2.71,overcast clouds
192,Qaqortoq,GL,60.7167,-46.0333,45.7,94,100,4.47,overcast clouds
193,Karaton,ID,-6.3424,106.1045,77.95,75,99,3.13,overcast clouds
194,Tarogong,ID,-7.1902,107.8874,75.74,61,99,1.05,overcast clouds
195,Kruisfontein,ZA,-34.0033,24.7314,45.07,78,0,6.24,clear sky
196,Harper,LR,4.375,-7.7169,75.04,80,100,12.73,overcast clouds
197,Kaitangata,NZ,-46.2817,169.8464,47.48,64,100,7.85,overcast clouds
198,Carnarvon,AU,-24.8667,113.6333,69.42,75,100,15.75,light rain
199,Vila Velha,BR,-20.3297,-40.2925,71.55,84,75,3.44,broken clouds
200,Namwala,ZM,-15.7504,26.4384,56.79,38,0,4.88,clear sky
201,Payo,ID,-3.7508,103.6372,78.33,79,46,0.98,scattered clouds
202,Marsabit,KE,2.3284,37.9899,61.9,77,86,21.79,overcast clouds
203,Lamar,US,33.6668,-95.5836,94.91,38,0,13.8,clear sky
204,Toora-Khem,RU,52.4675,96.11,63.63,79,100,0.2,overcast clouds
205,Gympie,AU,-26.1898,152.665,66.9,65,100,2.35,overcast clouds
206,Machinga,MW,-15.1685,35.3,60.01,77,0,3.47,clear sky
207,Turayf,SA,31.6725,38.6637,79.05,57,0,13.8,clear sky
208,Carutapera,BR,-1.195,-46.02,75.85,93,100,5.1,overcast clouds
209,Dire,ML,12.2833,-10.9667,73.29,96,100,3.22,light rain
210,Ponta Do Sol,PT,32.6667,-17.1,72.01,78,3,3.0,clear sky
211,Krasnyy Luch,UA,48.1395,38.9371,67.55,65,11,12.37,few clouds
212,Nahariyya,IL,33.0059,35.0941,70.99,84,0,1.95,clear sky
213,Sinazongwe,ZM,-17.2614,27.4618,63.25,41,0,3.42,clear sky
214,Cumbum,IN,9.7333,77.3,74.8,92,100,4.97,overcast clouds
215,San Patricio,US,28.017,-97.5169,90.54,60,100,14.14,overcast clouds
216,Plettenberg Bay,ZA,-34.0527,23.3716,48.83,71,0,4.83,clear sky
217,Kinablangan,PH,7.6947,126.5503,81.72,69,100,1.45,overcast clouds
218,Kentau,KZ,43.5206,68.5094,73.35,46,3,2.35,clear sky
219,Odienne,CI,9.51,-7.5692,70.88,94,100,2.39,light rain
220,Fukue,JP,32.6881,128.8419,82.76,89,75,18.41,light rain
221,Krasnoselkup,RU,65.7,82.4667,48.11,64,0,23.94,clear sky
222,Koutiala,ML,12.3917,-5.4642,80.11,68,89,7.99,overcast clouds
223,Kahului,US,20.8947,-156.47,87.82,55,20,19.57,few clouds
224,Soe,ID,-9.8607,124.284,72.64,71,97,6.22,overcast clouds
225,Prince Rupert,CA,54.3161,-130.3201,60.49,94,100,10.36,mist
